day,hour,alive,uninfected,infected,recovered,deaths,quarantined,max_infected,variance_infected,mean_infected,run_no,avg_susceptibility,avg_recovery_time,initial_population,initial_infected,average_death_rate,average_recovery_rate,quarantine_delay,mass_testing_intensity,social_distancing_intensity,lockdown_intensity
56,1344,3287,1461,1051,775,1713,0,16,1.539896845,2.040659341,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
57,1368,3245,1444,989,812,1755,0,16,1.5436569759999998,2.042696629,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
58,1392,3189,1396,941,852,1811,0,16,1.547547362,2.041526375,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
59,1416,3143,1340,921,882,1857,0,16,1.5458005069999998,2.044692737,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
60,1440,3109,1230,953,926,1891,0,16,1.5359270859999998,2.04171123,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
61,1464,3058,1142,955,961,1942,0,16,1.5577323730000001,2.0513626830000002,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
62,1488,3030,1068,965,997,1970,0,16,1.558175741,2.04912999,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
63,1512,2976,972,967,1037,2024,0,16,1.573133029,2.0675403230000002,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
64,1536,2928,897,957,1074,2072,0,16,1.567163525,2.063976378,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
65,1560,2884,841,935,1108,2116,0,16,1.5360850659999998,2.055664063,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
0,0,5000.0,4999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
1,24,5000.0,4993.0,7.0,0.0,0.0,0.0,2.0,0.577350269,1.5,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
2,48,4998.0,4974.0,24.0,0.0,2.0,0.0,4.0,1.1645001529999999,1.9166666669999999,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
3,72,4995.0,4948.0,47.0,0.0,5.0,0.0,6.0,1.296087149,1.956521739,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
4,96,4994.0,4926.0,68.0,0.0,6.0,0.0,8.0,1.530621779,2.03030303,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
5,120,4989.0,4870.0,119.0,0.0,11.0,0.0,8.0,1.4505355,2.034482759,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
6,144,4980.0,4819.0,161.0,0.0,20.0,0.0,8.0,1.4096159769999999,2.0126582280000003,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
7,168,4970.0,4785.0,184.0,1.0,30.0,0.0,8.0,1.371961309,2.123595506,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
8,192,4956.0,4731.0,224.0,1.0,44.0,0.0,8.0,1.372948466,2.118181818,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
9,216,4951.0,4701.0,247.0,3.0,49.0,0.0,8.0,1.336730314,2.0234375,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
10,240,4938.0,4674.0,260.0,4.0,62.0,0.0,8.0,1.331933107,2.053435115,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
11,264,4924.0,4658.0,261.0,5.0,76.0,0.0,8.0,1.3208655679999999,1.961832061,3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0
